Country, 0
Afghanistan, 588
Albania, 282
Algeria, 322
Angola, 1260
Antigua and Barbuda, 1302
Argentina, 1020
Armenia, 185
Aruba, 1662
Australia, 1087
Austria, 215
Azerbaijan, 194
The Bahamas, 1852
Bahrain, 462
Bangladesh, 678
Barbados, 891
Belarus, 123
Belgium, 208
Belize, 1018
Benin, 987 
Bolivia, 2272
Bosnia and Herzegovina, 328
Botswana, 654
Bhutan, 0
Brazil, 880
Brunei, 851 
Bulgaria, 274
Burkina Faso, 681
Burma, 717
Burundi, 677
Cambodia, 644
Cameroon, 854
Canada, 947
Cape Verde, 1280
Central African Republic, 1798
Chad, 779 
Chile, 1592
China, 695
Colombia, 1494
Comoros, 1501
Costa Rica, 1453
Ivory Coast, 897
Croatia, 318
Cuba, 1149
Curacao, 1310 
Cyprus, 256
Czech Republic, 209
Denmark, 251
Djibouti,756
Dominica, 1251
Dominican Republic, 916
East Timor, 1748
Ecuador, 1351
Egypt, 396
El Salvador, 1238
Equatorial Guinea, 1204
Eritrea, 1171 
Estonia, 184
Ethiopia, 776
Fiji, 1604
Finland, 146
France, 243
Gabon, 1475
Gambia, 760
Georgia, 189
Germany, 217
Ghana, 725
Greece, 229
Grenada, 1081
Guatemala, 1586
Guinea, 762
Guinea-Bissau, 1089
Guyana, 1690
Haiti, 1060
Honduras, 1192
Hong Kong, 476
Hungary, 227
Iceland, 644
India, 401
Indonesia, 631
Iran, 269
Iraq, 800
Ireland, 387
Israel, 246
Italy, 236
Jamaica, 1117
Japan, 669
Jordan, 448
Kazakhstan, 272
Kenya, 506
North Korea, 1082 
South Korea, 681
Kuwait, 374
Kyrgyzstan, 166
Laos, 845
Latvia, 142
Lebanon, 304
Lesotho, 935
Liberia, 1090
Lithuania, 158
Luxembourg, 306
Macau, 810
Macedonia, 253
Madagascar, 1383
Malawi, 848
Malaysia, 612
Maldives, 593
Mali, 1164
Malta, 300
Mauritania, 799
Mauritius, 971
Mexico, 1160 
Moldova, 135
Monaco, 1530
Mongolia, 670
Montenegro, 184
Morocco, 462
Mozambique, 1135 
Nauru, 2103
Nepal, 587
Netherlands, 231
Netherlands Antilles, 1897
New Zealand, 1082
Nicaragua, 1109
Niger, 790
Nigeria, 1038
Norway, 244
Oman, 343
Pakistan, 645
Palau, 1274
Panama, 1452
Papua New Guinea, 1892
Paraguay, 1630
Peru, 1572
Philippines, 665
Poland, 205
Portugal, 436
Qatar, 422
Romania, 237
Rwanda, 682
Saint Kitts and Nevis, 1281
Saint Lucia, 1261
Saint Vincent and the Grenadines, 2142
Samoa, 2030 
Sao Tome and Principe, 1582
Saudi Arabia, 530
Senegal, 675
Republic of Serbia, 225
Seychelles, 499
Sierra Leone, 1026
Singapore, 540
Sint Maarten, 1897
Slovakia, 352
Slovenia, 211
Somaliaб 1273
South Africa, 681
South Sudan, 422
Spain, 286
Sri Lanka, 489
Sudan, 652
Swaziland, 946 
Sweden, 213
Switzerland, 252
Taiwan, 759
Tajikistan, 516 
Tanzania, 692
Thailand, 537
Timor-Leste, 1157
Togo, 1034
Trinidad and Tobago, 1046
Tunisia, 443
Turkey, 222
Turkmenistan, 397 
Uganda, 652
Ukraine, 175
United Arab Emirates, 269
United Kingdom, 304
United States of America, 550
Uruguay, 1428
Uzbekistan, 310
Vanuatu, 1407
Venezuela, 1586
Vietnam, 504
Zambia, 775
Zimbabwe, 708
French Southern and Antarctic Lands, 0
Western Sahara, 0
Russia, 0
Namibia, 0
Myanmar, 0
Libya, 0
Kosovo, 0
Palestine, 0
Guinea Bissau, 0
Falkland Islands, 0
New Caledonia, 0
Greenland, 0
Northern Cyprus, 260
Republic of Congo, 0
Democratic Republic of the Congo, 0
Yemen, 0
United Republic of Tanzania, 0
Syria, 0
Suriname, 0
Somalia, 0
Somaliland, 0
Solomon Islands, 0
Puerto Rico, 0